location,price,bill_of_sale,mortgage,repair,area_m2,number_of_room,floor,price_per_m2
Nərimanov r.,410000,Çıxarış var,Ipoteka yoxdur,Təmirli,200.0,4,2,2262.3388868301045
Gənclik m.,185000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,61.0,2,3,2404.484840820714
Nərimanov r.,418404,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,199.2,5,12,2262.3388868301045
Nəriman Nərimanov m.,159000,Çıxarış var,İpoteka var,Təmirli,55.0,2,5,2350.35568779757
Koroğlu m.,269000,Çıxarış var,Ipoteka yoxdur,Təmirli,172.0,3,15,1573.4246575342465
Nəriman Nərimanov m.,310000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,110.0,3,15,2350.35568779757
Nəriman Nərimanov m.,320000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,115.0,3,12,2350.35568779757
Nərimanov r.,262000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,105.0,3,11,2262.3388868301045
Gənclik m.,195000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,108.0,2,16,2404.484840820714
Nəriman Nərimanov m.,200000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,104.0,3,17,2350.35568779757
Gənclik m.,262000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,110.0,3,6,2404.484840820714
Nəriman Nərimanov m.,285000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,106.0,3,5,2350.35568779757
Nəriman Nərimanov m.,165000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,65.0,2,11,2350.35568779757
Nəriman Nərimanov m.,310000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,108.0,3,15,2350.35568779757
Nəriman Nərimanov m.,179000,Çıxarış var,Ipoteka yoxdur,Təmirli,85.0,2,4,2350.35568779757
Nərimanov r.,130000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,62.0,2,6,2262.3388868301045
Gənclik m.,319000,Çıxarış var,İpoteka var,Təmirli,120.0,3,14,2404.484840820714
8 Noyabr m.,279000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,110.0,3,3,2189.8477742287632
Nəriman Nərimanov m.,319000,Çıxarış var,Ipoteka yoxdur,Təmirli,112.0,3,12,2350.35568779757
Nəriman Nərimanov m.,189000,Çıxarış var,Ipoteka yoxdur,Təmirli,70.0,2,7,2350.35568779757
Nəriman Nərimanov m.,225000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,82.0,4,6,2350.35568779757
Gənclik m.,196000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,108.0,2,15,2404.484840820714
Gənclik m.,239000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,114.0,3,17,2404.484840820714
Nərimanov r.,139000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,70.0,2,6,2262.3388868301045
Gənclik m.,130000,Çıxarış var,Ipoteka yoxdur,Təmirli,45.0,2,10,2404.484840820714
Nərimanov r.,310000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,125.0,3,5,2262.3388868301045
Nəriman Nərimanov m.,148000,Çıxarış var,İpoteka var,Təmirli,65.0,2,3,2350.35568779757
28 May m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,77.0,2,9,2292.720682644982
Nəriman Nərimanov m.,189000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,86.0,2,14,2350.35568779757
Nərimanov r.,285000,Çıxarış var,İpoteka var,Təmirli,130.0,3,10,2262.3388868301045
Nəriman Nərimanov m.,262000,Çıxarış var,İpoteka var,Təmirli,103.0,3,10,2350.35568779757
Gənclik m.,220000,Çıxarış var,Ipoteka yoxdur,Təmirli,85.0,3,7,2404.484840820714
28 May m.,270000,Çıxarış var,İpoteka var,Təmirli,130.0,3,16,2292.720682644982
Nəriman Nərimanov m.,179000,Çıxarış var,Ipoteka yoxdur,Təmirli,88.0,2,4,2350.35568779757
